year,gacc,acres,source_report
2022,AK,3110976,annual_report_2025.pdf
2022,EA,64342,annual_report_2025.pdf
2022,GB,436598,annual_report_2025.pdf
2022,NO,246990,annual_report_2025.pdf
2022,NR,223746,annual_report_2025.pdf
2022,NW,631605,annual_report_2025.pdf
2022,RM,273503,annual_report_2025.pdf
2022,SA,1518116,annual_report_2025.pdf
2022,SO,87350,annual_report_2025.pdf
2022,SW,983957,annual_report_2025.pdf
2023,AK,314277,annual_report_2025.pdf
2023,EA,113416,annual_report_2025.pdf
2023,GB,97656,annual_report_2025.pdf
2023,NO,189647,annual_report_2025.pdf
2023,NR,137654,annual_report_2025.pdf
2023,NW,353367,annual_report_2025.pdf
2023,RM,249363,annual_report_2025.pdf
2023,SA,682996,annual_report_2025.pdf
2023,SO,155134,annual_report_2025.pdf
2023,SW,400400,annual_report_2025.pdf
2024,AK,667076,annual_report_2025.pdf
2024,EA,206667,annual_report_2025.pdf
2024,GB,1188164,annual_report_2025.pdf
2024,NO,550089,annual_report_2025.pdf
2024,NR,596339,annual_report_2025.pdf
2024,NW,2074585,annual_report_2025.pdf
2024,RM,755511,annual_report_2025.pdf
2024,SA,1994830,annual_report_2025.pdf
2024,SO,531215,annual_report_2025.pdf
2024,SW,360408,annual_report_2025.pdf
2025,AK,1006158,annual_report_2025.pdf
2025,EA,241158,annual_report_2025.pdf
2025,GB,588638,annual_report_2025.pdf
2025,NO,89656,annual_report_2025.pdf
2025,NR,145378,annual_report_2025.pdf
2025,NW,571325,annual_report_2025.pdf
2025,RM,596146,annual_report_2025.pdf
2025,SA,967527,annual_report_2025.pdf
2025,SO,419637,annual_report_2025.pdf
2025,SW,505851,annual_report_2025.pdf
